,Intercept,Slope,R.squared,slope.std
ERBB2,0.0903252314947888,0.622980580823549,0.5,0.312025112230407
ERBB3,-0.0467792572388063,0.996022712613268,0.5,0.444802833556674
ERBB4,-0.0546527255968993,1.16860179444032,0.8,0.250587492479134
ESM1,0.341565633620882,0.775800624136836,0.8,0.178971990783221
F3,0.0644742159399188,0.910348988024884,0.8,0.254040129522884
F7,-0.0508142785373413,1.05606112442797,0.8,0.287938761942688
F9,0.0262843659410674,0.90218394042946,0.6,0.329801056546304
FABP1,0.0937790004513997,0.947001739640103,0.9,0.143155340077461
FABP2,0.00593399698538436,0.987084465698723,0.9,0.148881797973485
FABP4,0.0270419174973504,0.958069592314538,0.9,0.14029880259064
FABP6,0.367962024575517,0.642319133120053,0.7,0.207788668140505
FABP9,-0.0177676058213918,0.857488336524074,0.9,0.153314540609136
FAM3B,0.100922276355269,0.774431711897414,0.7,0.254034865317678
FAP,-0.0451757976219992,0.955644487661854,0.9,0.1213245813554
FAS,-0.0186967676931074,0.948742934011142,0.8,0.210684008468669
FASLG,0.0646836366631752,0.922740696411429,1,0.0783397728017912
FCER2,0.150744915736945,0.881141847886265,1,0.0780597599300855
FCGR2A,-0.030857777048213,0.965647481351502,0.8,0.209033028672044
FCGR3B,0.0413690219778259,0.92192437037941,0.9,0.167267353608029
FCN2,-0.0233591736668905,0.939802177829007,0.8,0.229891899684353
FCRL1,0.115071658381219,0.921954605469097,1,0.0772562010103508
FCRL2,-0.0097845132138374,0.952367885562639,1,0.0845897274541711
FCRL3,0.0897215603257906,0.806348645271834,0.8,0.2234345339072
FCRL5,0.0435242064283944,1.01608378649721,1,0.0914367241788674
FCRL6,0.0422299754655598,0.836561279247957,0.9,0.124062945550058
FCRLB,0.0595436605894336,0.831900927763633,0.7,0.290038694458665
FETUB,0.0367465381706545,0.990673146399314,0.8,0.210725320418264
FGF19,-0.00509438083583656,1.02605567328473,0.9,0.116451185773872
FGF21,0.0585293748147287,1.02493131702426,1,0.0770330424495312
FGF23,0.0744853646076819,0.913583213751388,0.8,0.207960820312201
FGFBP1,-0.0475995828970509,0.851847955220964,0.6,0.313548345336067
FGFR2,0.206593614507286,0.756863507382241,0.5,0.35482495583287
FLRT2,0.185643629472142,0.727662567067604,0.7,0.224389709649235
FLT3LG,-0.0349768696912012,0.952758176078663,0.9,0.166030540352787
FLT4,0.0305076237121903,0.989593994182794,0.7,0.280006695315597
FOLR1,-0.0546202822014468,0.977979861245291,0.7,0.321429405431145
FOLR3,0.140124001066745,1.0298708302661,1,0.0644318020271303
FRZB,-0.96506914103065,0.454051615296424,0.7,0.134258736141964
FST,-0.110163220883418,0.687324217954232,0.8,0.144581485825973
FSTL3,0.019024292784643,0.962422603144568,0.8,0.23150969728375
FUCA1,0.0300111716743048,0.972768100099872,1,0.102817381511979
FURIN,0.212600776627371,0.687147333586172,0.6,0.280418654807043
FUT3_FUT5,0.0669813104632428,1.08888687020016,0.9,0.163954013575126
GAL,-0.0382990714441602,0.893435187113289,0.9,0.130174174362467
GALNT2,0.163046254188953,0.609078362670185,0.7,0.202879553392367
GAS6,0.0316906988401385,0.957461195977477,0.8,0.264282097701591
GCNT1,0.277714368631699,0.658827655773637,0.6,0.253756583931115
GDF15,0.061652097263317,1.01428485218884,0.9,0.157300681808434
GDF2,0.0764813456489121,0.960240419802096,0.9,0.188852372961193
GDNF,0.00378787512861273,0.851821945013723,0.7,0.241933350468855
GFAP,-0.0934363637651138,0.915054576937083,0.7,0.306281162162514
GFOD2,0.158560699530724,1.09881050521912,0.9,0.131983231453952
GFRA1,0.128663217277263,0.825271230184731,0.8,0.18116188382184
GFRA3,-0.0392535594761529,0.908242922919308,0.8,0.214746679677323
GGH,0.0635620012612048,0.942132601796658,0.8,0.239144828023115
GGT1,-0.0998580162661308,1.08040624425151,0.9,0.137863049448506
GH1,0.366972125800044,0.948821377131773,1,0.0874315587297706
GH2,-0.156898305230048,1.04830775581026,0.9,0.143422456654466
GHRL,0.369386051716196,0.842145878530509,0.9,0.129773785021187
GLT8D2,-0.0110350842142617,1.03542764181078,0.9,0.151900354702728
GOLM2,0.164554884028251,0.755135921143808,0.6,0.286109543808604
GP2,-0.280532510386427,1.08096603619627,0.9,0.218762140236612
GPC1,-0.0185368717691302,0.948076827110448,0.8,0.247995882533698
GPR37,0.229772895093485,0.781243061085418,0.6,0.334073899150669
GRN,0.0594480724220831,0.909600723930303,0.7,0.269674397028723
GSTA1,0.0107900138355455,1.01739353749033,0.9,0.146364665606806
GSTA3,-0.211886156339452,0.678775207281772,0.5,0.321810527149681
GUCA2A,-0.0214812404141558,0.986730111665802,0.8,0.249552679560745
GZMA,0.413659030193973,0.483625597363916,0.5,0.247239895004744
HAO1,0.0875661187753318,0.963748047767134,1,0.057249272991944
HAVCR1,-0.00667588330691828,1.05145632634008,1,0.0868610892187895
HAVCR2,-0.0383321451801926,1.00785012482058,0.9,0.135023018983399
HGF,-0.0620491932463761,0.701529302917,0.6,0.284103744582691
HLA.DRA,0.375525720101483,0.655242375685792,0.6,0.26393698780083
HMOX1,0.00721526792953277,0.948231550124221,0.9,0.114522393995058
HPGDS,-0.0232649792251992,0.685100314249744,0.8,0.169620307075377
HS3ST3B1,0.221503577660096,0.807793172846117,0.5,0.364662397753018
HSD11B1,0.0311516419281794,0.853685053608225,0.7,0.29575969231751
HSP90B1,-0.0483422641104516,0.992144816708361,0.9,0.201964917500051
HSPB6,0.0160474733852817,0.962815098869751,0.7,0.270333825346372
HSPG2,0.189940750672813,0.794785887222867,0.7,0.242383137024067
HYAL1,-0.186887297029486,1.1915761506694,0.6,0.433595577902756
HYOU1,0.125090195001508,0.781163142971097,0.7,0.26036621893045
ICAM1,0.10925866209985,0.931390833805628,0.9,0.168901212092995
ICAM2,0.319790265633528,0.691973673459127,0.7,0.236779938663693
ICAM3,0.0621182524787213,0.932255045843539,0.8,0.231138273579882
ICAM4,-0.0538226946489117,0.824448314520319,0.6,0.342475255475274
ICAM5,0.302433173169099,0.764909805635518,0.8,0.185080367168277
ICOSLG,0.182093634357686,0.689378748721359,0.5,0.328217780950571
IDUA,-0.629600840868598,0.423073670894183,0.5,0.19970468272166
IFNG,0.383299250817652,0.714259229741437,0.5,0.345008187444553
IFNGR1,0.0897875547723211,0.844302472840185,0.6,0.367876196631534
IFNGR2,-0.136187885034343,1.11227051750687,0.9,0.185865549878937
IGF2R,0.0388215808155151,1.03542482725795,0.7,0.34700798074872
IGFBP1,0.0473684939800962,0.989450751148787,1,0.0760787377299138
IGFBP2,0.0436925647730579,0.931978646848847,1,0.0860458828227968
IGFBP3,0.070996774846981,0.842273311873321,0.7,0.253840542367719
IGFBP4,0.0716865936605528,0.794270585732339,0.7,0.255206755506239
IGFBP6,0.059026281331913,0.966920956142585,0.8,0.198610053976373
IGFBP7,0.110830792881235,0.809334164368906,0.8,0.210266916001766
IGFBPL1,0.0107940940738113,0.961925644741537,0.7,0.285751065003167
IGSF3,0.253949209301056,0.809946075047667,0.7,0.238268580935201
IL10,-2.71393976315426,0.616731063871457,0.5,0.321499218029916
IL10RA,0.0892856942911068,1.01752096439139,0.7,0.308880838285311
IL10RB,0.0891631149011692,0.880276387903174,0.8,0.244147708494312
IL11,0.0707010330247218,0.894274297254572,0.8,0.227355831066746
IL12A_IL12B,0.119170940824667,0.89143671499322,1,0.074341200885956
IL12B,0.0336159458301458,0.923331743642733,1,0.0467344283019371
IL12RB1,0.0785068960972826,0.749327424546683,0.5,0.386943264390867
IL15,-0.0725619302201594,1.01191798181128,0.8,0.276949530992667
IL17A,-0.030364018899064,1.09160012032027,0.9,0.126229165253243
IL17C,-0.0711513149942743,1.22748189497421,0.9,0.219797088589014
IL17F,0.0627134594240946,0.992570440162124,0.8,0.222345598105103
IL17RA,0.270914058753781,0.786923830886764,0.6,0.32093320816233
IL17RB,0.020693519051876,0.903256598745595,0.9,0.172329693095147
IL18,0.0617366912784539,0.958634660517223,1,0.0735082354530773
IL18BP,0.13323445582834,0.892014460231453,0.9,0.158395326518151
IL18R1,0.0217237818232192,0.945690873568658,0.8,0.237462180528433
IL18RAP,-0.242072520293693,1.0628300983942,0.9,0.122533004538437
IL19,0.124900019775358,0.80278451482255,0.9,0.132755040230375
IL1R1,0.0397213386182184,0.928604312879841,0.7,0.278219381683466
IL1R2,0.0385589326295894,0.977468598709215,0.8,0.205984853677948
IL1RAP,0.0736271586325854,0.88094770017186,0.5,0.395498986328066
IL1RL1,-0.0139767817742556,1.02476447569149,1,0.076108525652054
IL1RL2,-0.00333073210951708,0.886018334767101,0.9,0.177555270040133
